Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-05-12,112.85,113.508,110.801,113.289,1326774.6064416
2015-05-13,113.508,116.407,113.508,116.407,767031.75219957
2015-05-14,116.178,116.312,113.374,113.374,733341.78638841
2015-05-15,113.785,114.928,113.07,114.576,558271.23239721
2015-05-18,114.624,114.842,112.85,112.85,913175.4442978
2015-05-19,113.24,113.289,112.136,112.488,561489.29071499
2015-05-20,112.803,112.803,111.325,111.783,736573.48054652
2015-05-21,112.222,113.165,111.963,113.022,733255.77570326
2015-05-22,112.85,113.165,111.783,112.307,429242.61773416
2015-05-25,112.354,112.85,110.848,111.421,475049.60104433
2015-05-26,112.85,112.85,111.067,111.067,697599.10215226
2015-05-27,111.516,111.611,107.931,111.096,766763.23103616
2015-05-28,111.468,111.468,107.616,107.616,916266.58440944
2015-05-29,108.627,109.123,105.739,105.739,1482014.4529504
2015-06-01,105.909,108.98,105.909,108.722,878753.33875203
2015-06-02,108.77,108.818,105.547,106.004,839320.58634053
2015-06-03,106.196,108.027,105.776,106.834,515730.55730137
2015-06-05,106.282,106.282,103.488,103.85,785178.95785662
2015-06-08,103.85,104.127,100.59,101,821959.01486862
2015-06-09,101.648,102.698,99.989,101.42,1064543.7610638
2015-06-10,101.648,107.34,101.648,106.472,1440149.2764063
2015-06-11,106.377,106.834,104.718,104.718,1226051.8984811
2015-06-12,104.813,105.452,102.935,103.708,1023831.337483
2015-06-15,103.25,104.766,102.888,104.537,616737.52008718
2015-06-16,104.766,105.367,104.079,104.356,1001085.7069025
2015-06-17,104.632,104.995,102.793,102.793,851444.9462151
2015-06-18,103.536,104.079,102.202,103.164,702919.17770237
2015-06-19,103.079,103.345,101.143,101.191,1109879.7834272
2015-06-22,101.42,102.744,100.542,101.238,647060.48224773
2015-06-23,102.43,103.164,100.952,102.698,1286202.7369072
2015-06-24,103.164,103.345,101.191,101.878,816251.8912353
2015-06-25,101.42,102.202,100.952,101.878,1120535.6681894
2015-06-26,102.068,102.068,101.143,101.744,239723.31754761
2015-06-29,99.1218,100.323,97.7395,98.6262,640068.44289105
2015-06-30,98.6262,99.3594,96.4524,97.7871,785797.81522543
2015-07-01,98.2069,98.6262,96.3762,96.3762,984457.32407597
2015-07-02,96.6908,98.0254,96.4524,96.9196,762388.22411196
2015-07-03,97.2914,97.5583,95.9566,97.1103,542085.48992603
2015-07-06,95.2702,95.6325,93.62,95.2702,418923.43333707
2015-07-07,95.4037,95.5848,90.8637,90.901,1219178.3860442
2015-07-08,89.9457,91.6817,88.6805,91.3233,1663241.064395
2015-07-09,92.9754,94.3484,92.2405,94.1595,894905.51607779
2015-07-10,95.2702,96.1951,95.0033,95.0033,872759.86247179
2015-07-13,95.9186,96.0998,93.8926,94.0843,654201.46693724
2015-07-14,94.3016,94.3484,91.7819,92.6999,708423.86155234
2015-07-15,93.3387,94.1214,92.6084,93.7134,585538.71741315
2015-07-16,94.6706,95.9186,94.4437,95.9186,534695.9133782
2015-07-17,96.1474,96.3285,93.3387,93.5266,633498.0656738
